#Release 14.2 - par P.28xd (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sat Oct 26 11:03:15 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       main_aes_map.ncd
#OUTPUT FILE:      main_aes_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B12,,,VCCAUX,,,,,,,,2.5,,,,
B13,data_out<1>,IOB,IO_L05N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
B14,,DIFFM,IO_L04P_0,UNUSED,,0,,,,,,,,,
B15,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,
B16,,DIFFM,IO_L01P_0,UNUSED,,0,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,IBUF,IP,UNUSED,,1,,,,,,,,,
C1,data_out<49>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C2,data_out<43>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C3,data_out<40>,IOB,IO_L25P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C4,data_out<37>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C5,data_out<35>,IOB,IO_L23P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,data_out<29>,IOB,IO_L18P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
C9,data_out<30>,IOB,IO_L14P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C10,,,GND,,,,,,,,,,,,
C11,data_out<14>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C12,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,,DIFFS,IO_L03N_0/VREF_0,UNUSED,,0,,,,,,,,,
C15,,IBUF,IP,UNUSED,,0,,,,,,,,,
C16,,,TDO,,,,,,,,,,,,
C17,,DIFFS,IO_L24N_1/LDC2,UNUSED,,1,,,,,,,,,
C18,,DIFFM,IO_L24P_1/LDC1,UNUSED,,1,,,,,,,,,
D1,data_out<44>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
D2,data_out<45>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
D3,,IBUF,IP,UNUSED,,3,,,,,,,,,
D4,,,NC,,,,,,,,,,,,
D5,data_out<36>,IOB,IO_L23N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
D6,,,NC,,,,,,,,,,,,
D7,,DIFFS,IO_L18N_0/VREF_0,UNUSED,,0,,,,,,,,,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
D9,data_out<22>,IOB,IO_L14N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
D10,data_out<16>,IOB,IO_L11P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
D11,data_out<15>,IOB,IO_L09N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
D12,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
D13,,IBUF,IP,UNUSED,,0,,,,,,,,,
D14,,DIFFM,IO_L03P_0,UNUSED,,0,,,,,,,,,
D15,,,TMS,,,,,,,,,,,,
D16,,DIFFS,IO_L23N_1/LDC0,UNUSED,,1,,,,,,,,,
D17,,DIFFM,IO_L23P_1/HDC,UNUSED,,1,,,,,,,,,
D18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
E1,data_out<47>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
E2,data_out<46>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
E3,,,NC,,,,,,,,,,,,
E4,,,NC,,,,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,,NC,,,,,,,,,,,,
E7,data_out<32>,IOB,IO_L19N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
E8,data_out<26>,IOB,IO_L17P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
E9,data_out<24>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
E10,data_out<17>,IOB,IO_L11N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
E11,data_out<21>,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
E12,data_out<3>,IOB,IO_L06N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
E13,,IOB,IO,UNUSED,,0,,,,,,,,,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,,,NC,,,,,,,,,,,,
E16,,,NC,,,,,,,,,,,,
E17,,IOB,IO,UNUSED,,1,,,,,,,,,
E18,,IBUF,IP,UNUSED,,1,,,,,,,,,
F1,data_out<56>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
F2,data_out<50>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,data_out<48>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
F5,,IBUF,IP,UNUSED,,3,,,,,,,,,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,data_out<31>,IOB,IO_L19P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
F8,,DIFFS,IO_L17N_0,UNUSED,,0,,,,,,,,,
F9,data_out<27>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
F10,,DIFFMI,IP_L10P_0,UNUSED,,0,,,,,,,,,
F11,data_out<19>,IOB,IO_L08N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
F12,data_out<6>,IOB,IO_L06P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,,DIFFS,IO_L21N_1,UNUSED,,1,,,,,,,,,
F15,,DIFFM,IO_L21P_1,UNUSED,,1,,,,,,,,,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,data_out<10>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
F18,data_out<8>,IOB,IO_L19P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G1,,IBUF,IP,UNUSED,,3,,,,,,,,,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,data_out<51>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G4,data_out<52>,IOB,IO_L06N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G5,data_out<54>,IOB,IO_L07N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G6,data_out<53>,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,data_out<23>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G10,,DIFFSI,IP_L10N_0,UNUSED,,0,,,,,,,,,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,data_out<7>,IOB,IO_L20N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G14,data_out<5>,IOB,IO_L20P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G15,data_out<9>,IOB,IO_L18P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G16,data_out<4>,IOB,IO_L18N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,,IBUF,IP,UNUSED,,1,,,,,,,,,
H1,data_out<60>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H2,data_out<59>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H3,data_out<58>,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H4,data_out<57>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H5,data_out<42>,IOB,IO_L08N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H6,data_out<55>,IOB,IO_L08P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,,IBUF,IP,UNUSED,,1,,,,,,,,,
H14,data_out<11>,IOB,IO_L17P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H15,data_out<12>,IOB,IO_L17N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H16,,DIFFM,IO_L16P_1,UNUSED,,1,,,,,,,,,
H17,data_out<0>,IOB,IO_L16N_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
H18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
J1,data_out<63>,IOB,IO_L12P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
J2,data_out<64>,IOB,IO_L12N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
J3,,,GND,,,,,,,,,,,,
J4,data_out<62>,IOB,IO_L11N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
J5,data_out<61>,IOB,IO_L11P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
J6,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
J7,,IBUF,IP,UNUSED,,3,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,,DIFFM,IO_L15P_1/A2,UNUSED,,1,,,,,,,,,
J13,,DIFFS,IO_L15N_1/A1,UNUSED,,1,,,,,,,,,
J14,,DIFFS,IO_L14N_1/A3/RHCLK7,UNUSED,,1,,,,,,,,,
J15,,DIFFM,IO_L14P_1/A4/RHCLK6,UNUSED,,1,,,,,,,,,
J16,,DIFFS,IO_L13N_1/A5/RHCLK5,UNUSED,,1,,,,,,,,,
J17,data_out<123>,IOB,IO_L13P_1/A6/RHCLK4/IRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,,IBUF,IP,UNUSED,,3,,,,,,,,,
K3,data_out<65>,IOB,IO_L13P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
K4,data_out<66>,IOB,IO_L13N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
K5,data_out<68>,IOB,IO_L14N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
K6,data_out<67>,IOB,IO_L14P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
K7,,IBUF,IP,UNUSED,,3,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,DIFFS,IO_L11N_1/A9/RHCLK1,UNUSED,,1,,,,,,,,,
K13,,DIFFM,IO_L11P_1/A10/RHCLK0,UNUSED,,1,,,,,,,,,
K14,data_out<124>,IOB,IO_L12N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
K15,data_out<122>,IOB,IO_L12P_1/A8/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
K16,,,GND,,,,,,,,,,,,
K17,,IBUF,IP,UNUSED,,1,,,,,,,,,
K18,,IBUF,IP,UNUSED,,1,,,,,,,,,
L1,data_out<69>,IOB,IO_L15P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L2,data_out<70>,IOB,IO_L15N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L3,data_out<71>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L4,data_out<98>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L5,data_out<90>,IOB,IO_L17N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L6,data_out<73>,IOB,IO_L17P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,,IBUF,IP,UNUSED,,1,,,,,,,,,
L14,,IBUF,IP,UNUSED,,1,,,,,,,,,
L15,,DIFFS,IO_L09N_1/A11,UNUSED,,1,,,,,,,,,
L16,data_out<127>,IOB,IO_L09P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L17,data_out<125>,IOB,IO_L10N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
L18,data_out<121>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M1,,IBUF,IP,UNUSED,,3,,,,,,,,,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,data_out<76>,IOB,IO_L18N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M4,data_out<75>,IOB,IO_L18P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M5,data_out<77>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M6,data_out<78>,IOB,IO_L19N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,data_out<100>,IOB,IO_L12N_2/D6/GCLK13,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M10,data_out<108>,IOB,IO_L16P_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,,DIFFS,IO_L05N_1/VREF_1,UNUSED,,1,,,,,,,,,
M14,,DIFFM,IO_L05P_1,UNUSED,,1,,,,,,,,,
M15,data_out<120>,IOB,IO_L07P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
M16,,DIFFS,IO_L07N_1,UNUSED,,1,,,,,,,,,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,data_out<116>,IOB,IO_L08N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
N1,,IBUF,IP,UNUSED,,3,,,,,,,,,
N2,,IBUF,IP,UNUSED,,3,,,,,,,,,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,data_out<79>,IOB,IO_L20P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
N5,data_out<80>,IOB,IO_L20N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,data_out<72>,IOB,IO_L07P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
N8,data_out<86>,IOB,IO_L09N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
N9,data_out<104>,IOB,IO_L12P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
N10,data_out<113>,IOB,IO_L16N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
N11,data_out<115>,IOB,IO_L18N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
N12,,,NC,,,,,,,,,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,NC,,,,,,,,,,,,
N15,,,NC,,,,,,,,,,,,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,,IBUF,IP,UNUSED,,1,,,,,,,,,
N18,data_out<117>,IOB,IO_L08P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P1,data_out<82>,IOB,IO_L21N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P2,data_out<81>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P3,,,NC,,,,,,,,,,,,
P4,,,NC,,,,,,,,,,,,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,data_out<96>,IOB,IO_L05N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P7,data_out<97>,IOB,IO_L07N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P8,data_out<99>,IOB,IO_L09P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P9,data_out<101>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P10,,DIFFS,IO_L15N_2/D1/GCLK3,UNUSED,,2,,,,,,,,,
P11,data_out<105>,IOB,IO_L18P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P12,,,NC,,,,,,,,,,,,
P13,,DIFFM,IO_L22P_2/A23,UNUSED,,2,,,,,,,,,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,,IOB,IO,UNUSED,,1,,,,,,,,,
P16,,,NC,,,,,,,,,,,,
P17,data_out<126>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P18,data_out<114>,IOB,IO_L06N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R1,,IBUF,IP,UNUSED,,3,,,,,,,,,
R2,data_out<85>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R3,data_out<84>,IOB,IO_L23P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R4,data_out<83>,IOB,IO/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R5,data_out<93>,IOB,IO_L04P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R6,data_out<95>,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R7,,DIFFSI,IP_L08N_2,UNUSED,,2,,,,,,,,,
R8,data_out<102>,IOB,IO_L10P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R9,data_out<106>,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R10,data_out<109>,IOB,IO_L15P_2/D2/GCLK2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R11,data_out<110>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
R12,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,
R13,,DIFFS,IO_L22N_2/A22,UNUSED,,2,,,,,,,,,
R14,,DIFFS,IO_L24N_2/A20,UNUSED,,2,,,,,,,,,
R15,,DIFFM,IO_L03P_1,UNUSED,,1,,,,,,,,,
R16,,DIFFS,IO_L03N_1/VREF_1,UNUSED,,1,,,,,,,,,
R17,,IBUF,IP,UNUSED,,1,,,,,,,,,
R18,,DIFFM,IO_L02P_1/A14,UNUSED,,1,,,,,,,,,
T1,data_out<87>,IOB,IO_L24N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
T2,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
T3,data_out<89>,IOB,IO_L01N_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
T4,data_out<91>,IOB,IO_L03N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
